component_id,description,voltage_class,hp_min,hp_max,current_min_a,current_max_a,p25_usd,median_usd,p75_usd,last_confirmed,source_type,source_url,confidence,notes
mccb_main,MCCB 3P 25-40A 220/240V,240,5,15,10,40,95,145,220,2026-05-20,ledger,https://www.google.com/search?q=MCCB+3P+40A+Ecuador,0.72,referencia interna piloto
mccb_main,MCCB 3P 400-600A 440/480V,480,125,250,220,600,2200,3250,4800,2026-05-20,ledger,https://www.google.com/search?q=MCCB+3P+500A+Ecuador,0.58,orden de magnitud; RFQ obligatorio
contactor_fwd,Contactor AC3 18-32A bobina 220/440V,any,5,25,10,40,65,82,140,2026-05-20,ledger,https://www.google.com/search?q=contactor+AC3+32A+Ecuador,0.72,común en catálogo piloto
contactor_fwd,Contactor línea VFD 280A+,480,125,250,220,600,1500,1960,3200,2026-05-20,ledger,https://www.google.com/search?q=contactor+AC3+300A+Ecuador,0.5,alta potencia: confirmar marca/modelo
vfd,VFD 10HP 220V heavy duty,240,7,15,20,50,850,1180,1550,2026-05-20,ledger,https://listado.mercadolibre.com.ec/variador-10hp-220v,0.7,bomba pequeña/mediana
vfd,VFD 25HP 440/480V heavy duty,480,18,35,35,90,950,1180,2300,2026-05-20,ledger,https://www.google.com/search?q=VFD+25HP+440V+Ecuador,0.62,piloto
vfd,VFD 180HP 440/480V heavy duty,480,150,225,220,380,14500,17100,24000,2026-05-20,ledger,https://www.google.com/search?q=VFD+180HP+440V+Ecuador,0.45,solo orden de magnitud; confirmar con distribuidor
soft_starter,Soft starter 10HP 220V bypass,240,7,15,20,50,550,720,980,2026-05-20,ledger,https://www.google.com/search?q=soft+starter+10HP+220V+Ecuador,0.66,alternativa bomba/compresor
soft_starter,Soft starter 180HP 440V bypass,480,150,225,220,380,9000,10200,16000,2026-05-20,ledger,https://www.google.com/search?q=soft+starter+180HP+440V+Ecuador,0.45,RFQ obligatorio
line_reactor,Reactor 3% 10HP 220V,240,7,15,20,50,95,168,260,2026-05-20,ledger,https://www.google.com/search?q=reactor+linea+10HP+220V+Ecuador,0.6,referencial
