component_id,categoria,descripcion,cantidad,unidad,proveedor,marca,modelo,precio_unitario_usd,precio_total_usd,tipo_precio,confianza,semaforo,priceguard_score,accion_requerida,stock,entrega_dias,vigencia,nota_decision
mccb_main,Fuerza,MCCB principal,1.0,u,ElectroIndustrial Guayaquil,Schneider,EasyPact CVS 25A 25kA,88.0,88.0,referencial,media,verde,76.1,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (76.1%). Schneider EasyPact CVS 25A 25kA, ElectroIndustrial Guayaquil, Guayaquil. FitLock rechazó ofertas incompatibles: Schneider EasyPact CVS 60A 25kA: FitLock: oferta clase 600 V no corresponde a proyecto 220 V | ABB Tmax XT1 60A: FitLock: oferta clase 600 V no corresponde a proyecto 220 V | Chint NXM-63S 60A: FitLock: oferta clase 600 V no corresponde a proyecto 220 V."
overload_relay,Fuerza,Relé de sobrecarga,1.0,u,ElectroIndustrial Guayaquil,Schneider,LRD3357,66.0,66.0,confirmado,alta,verde,90.7,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (90.7%). Schneider LRD3357, ElectroIndustrial Guayaquil, Guayaquil."
contactor_fwd,Fuerza,Contactor principal,1.0,u,ElectroIndustrial Guayaquil,Schneider,LC1D32G7,82.0,82.0,confirmado,alta,verde,91.3,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (91.3%). Schneider LC1D32G7, ElectroIndustrial Guayaquil, Guayaquil."
soft_starter,Fuerza,Soft starter,1.0,u,Suministros El Oro,Chint,NJRP2-32-220,285.0,285.0,referencial fuerte,media-alta,verde,78.4,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (78.4%). Chint NJRP2-32-220, Suministros El Oro, Machala. FitLock rechazó ofertas incompatibles: Schneider ATS22D47S6: FitLock: oferta clase 460 V no corresponde a proyecto 220 V | ABB PSE45: FitLock: oferta sin corriente verificable para requerimiento 14 A; FitLock: oferta clase 460 V no corresponde a proyecto 220 V | Chint NJRP2-45: FitLock: oferta sin corriente verificable para requerimiento 14 A; FitLock: oferta clase 460 V no corresponde a proyecto 220 V."
bypass_contactor,Fuerza,Contactor bypass,1.0,u,ElectroIndustrial Guayaquil,Schneider,LC1D50G7,118.0,118.0,referencial fuerte,media-alta,verde,79.3,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (79.3%). Schneider LC1D50G7, ElectroIndustrial Guayaquil, Guayaquil."
phase_monitor,Seguridad,Relé monitor de fase,1.0,u,ElectroIndustrial Guayaquil,Schneider,RM22TR33,94.0,94.0,confirmado,alta,verde,86.3,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (86.3%). Schneider RM22TR33, ElectroIndustrial Guayaquil, Guayaquil."
control_transformer,Control,Transformador de control,1.0,u,Suministros El Oro,Genérico industrial,TC-2KVA,125.0,125.0,confirmado,alta,verde,86.2,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,1,2026-08-31,"PriceGuard: VERDE (86.2%). Genérico industrial TC-2KVA, Suministros El Oro, Machala."
cabinet,Tablero,Gabinete industrial,1.0,u,Suministros El Oro,Metálico Nacional,MN-604025,135.0,135.0,confirmado,alta,verde,84.9,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (84.9%). Metálico Nacional MN-604025, Suministros El Oro, Machala."
estop,Seguridad,Paro de emergencia,1.0,u,ElectroIndustrial Guayaquil,Schneider,XB4BS542,24.0,24.0,confirmado,alta,verde,87.2,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (87.2%). Schneider XB4BS542, ElectroIndustrial Guayaquil, Guayaquil."
pushbuttons,Control,Botonera de mando,1.0,u,ElectroIndustrial Guayaquil,Schneider,XB4 Kit,72.0,72.0,confirmado,alta,verde,86.5,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (86.5%). Schneider XB4 Kit, ElectroIndustrial Guayaquil, Guayaquil."
dry_run_protection,Instrumentación,Protección contra trabajo en seco,1.0,u,Suministros El Oro,Finder,DRY-RUN-KIT,115.0,115.0,referencial fuerte,media-alta,verde,78.0,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (78.0%). Finder DRY-RUN-KIT, Suministros El Oro, Machala."
pressure_sensor,Instrumentación,Sensor/presostato de presión,1.0,u,Suministros El Oro,Danfoss,KP36,68.0,68.0,referencial,media,verde,77.1,Usar en cotización revisable; confirmar vigencia si la oferta supera 72 horas.,available,2,2026-08-31,"PriceGuard: VERDE (77.1%). Danfoss KP36, Suministros El Oro, Machala."
